,Pathway total,Hits.total,Hits.sig,Expected,P(Fisher),P(EASE),P(Gamma),Emp.Hits,Empirical,AdjP.Fisher,AdjP.EASE,AdjP.Gamma,Pathway Number,cpd.hits,,,,,,,,,,,,,cpd.hits
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,6,2,1,0.10197,0.23902,1,1,8,0.08,1,1,1,P28,C03862,,,,,,,,C04006,1D-myo-Inositol 3-phosphate,,maybe correct ,,C03862
Drug metabolism - cytochrome P450,53,10,1,0.9007,0.74859,1,1,40,0.4,1,1,1,P29,C07501,,,,,,,,C05345,beta-D-Fructose 6-phosphate,,not correct?,,C07501
Vitamin B9 (folate) metabolism,33,8,1,0.56081,0.66763,1,1,46,0.46,1,1,1,P30,C01045,,,,,,,,C05401,Galactosylglycerol,,maybe correct ,,C01045
"Valine, leucine and isoleucine degradation",65,16,1,1.1046,0.89219,1,1,50,0.5,1,1,1,P31,C00026,,,,,,,,C05520,2-Amino-3-oxoadipate,,not correct,,C00026
Fructose and mannose metabolism,33,27,1,0.56081,0.97801,1,1,64,0.64,1,1,1,P32,C00257,CE3075,C00085,C05345,C00636,C02976,C01094,,C07501,Felbamate,,?,,C00275;CE3075;C00085;C05345;C00636;C02976;C01094
Butanoate metabolism,34,11,1,0.57781,0.78146,1,1,56,0.56,1,1,1,P33,C00026,,,,,,,,C12214,Aminofructose 6-phosphate,,not correct,,C00026
Ascorbate (Vitamin C) and Aldarate Metabolism,29,7,1,0.49284,0.61807,1,1,46,0.46,1,1,1,P34,C00800,,,,,,,,CE3075,entry not found,,,,C00800
"Fatty acid oxidation, peroxisome",28,3,1,0.47584,0.33653,1,1,17,0.17,1,1,1,P35,C00026,,,,,,,,,,,,,C00026
Purine metabolism,80,21,1,1.3595,0.94734,1,1,70,0.7,1,1,1,P36,C00049,,,,,,,,C00085,D-Fructose 6-phosphate;,,,,C00049
TCA cycle,31,12,1,0.52682,0.81011,1,1,58,0.58,1,1,1,P37,C00026,,,,,,,,C00099,beta-Alanine,,,,C00026
Proteoglycan biosynthesis,27,7,1,0.45885,0.61807,1,1,33,0.33,1,1,1,P38,C00190,,,,,,,,C00041,,,,,C00190
Phosphatidylinositol phosphate metabolism,59,18,1,1.0027,0.91896,1,1,54,0.54,1,1,1,P39,C03546,C00092,C03862,C04006,C01177,,,,,,,,,C03546;C00092;C03862;C04006;C01177
Pentose and Glucuronate Interconversions,15,7,1,0.25492,0.61807,1,1,58,0.58,1,1,1,P40,C00800,,,,,,,,,,,,,C00800
Nitrogen metabolism,6,4,1,0.10197,0.42177,1,1,27,0.27,1,1,1,P41,C00049,,,,,,,,,,,,,C00049
Starch and Sucrose Metabolism,33,14,1,0.56081,0.85681,1,1,61,0.61,1,1,1,P42,C00103,,,,,,,,,,,,,C00103
Phytanic acid peroxisomal oxidation,34,4,1,0.57781,0.42177,1,1,18,0.18,1,1,1,P43,C00026,,,,,,,,,,,,,C00026
Lysine metabolism,52,17,1,0.88371,0.90651,1,1,74,0.74,1,1,1,P44,C00026,,,,,,,,,,,,,C00026
Selenoamino acid metabolism,35,4,1,0.5948,0.42177,1,1,20,0.2,1,1,1,P45,C00041,,,,,,,,,,,,,C00041
