m.z,mode,t.score,p.value
361.13644,negative,-0.16,0.325095814
362.05066,negative,-1.35,0.000941734
364.08196,negative,2.57,0.006157527
365.11522,negative,1.92,8.81E-06
365.34236,negative,0.84,0.011813136
367.35807,negative,0.87,0.753637522
370.14019,negative,-1.37,0.139550116
371.15717,negative,-1.29,0.000240972
371.15719,negative,-0.26,0.002189276
371.19353,negative,-0.59,0.005444161
372.21393,negative,0.69,0.742593069
373.17277,negative,-0.94,0.111746607
374.15682,negative,-0.39,0.170586761
375.11567,negative,-0.75,0.001656224
375.13114,negative,-0.1,0.056010654
375.15204,negative,-0.86,3.27E-05
376.11828,negative,0.35,0.592055002
378.09759,negative,-0.1,0.271568219
378.13401,negative,-0.95,4.33E-05
378.1306,negative,-0.62,0.475155438
760.51335,negative,-0.12,0.643002379
380.01525,negative,-3.39,2.20E-05
381.18913,negative,0.31,0.884767007
382.17315,negative,0.44,0.784698707
766.1079,negative,-1.2,0.003192
383.35292,negative,-0.63,0.451817367
774.52898,negative,-0.02,0.978717144
389.16774,negative,-0.61,0.930268592
389.16784,negative,-0.32,0.049269231
784.1499,negative,-1.11,0.0003438
392.11325,negative,-0.27,0.601096594
786.52895,negative,0.52,0.196092026
399.14421,negative,-2.21,7.28E-06
401.05067,negative,-2.79,5.73E-07
417.19915,negative,-0.2,0.246939896
401.21526,negative,-0.87,0.000487642
401.24047,negative,0.62,0.066243748
402.01086,negative,-0.75,0.002594529
402.99482,negative,-1.05,0.000392552
403.1835,negative,-0.24,0.141198071
403.18337,negative,1.52,3.56E-05
403.19458,negative,-0.27,0.003259918
808.11823,negative,-0.79,0.001821828
417.19904,negative,-0.05,0.479402741
836.14989,negative,-0.7,0.006668008
419.2146,negative,-0.14,0.223940895
426.02206,negative,-1.11,0.000785849
429.23543,negative,-0.18,0.308789281
431.18946,negative,-0.28,0.008945452
431.19357,negative,-0.01,0.795074049
435.17321,negative,-0.77,0.000962615
436.28337,negative,0.09,0.947207223
437.26732,negative,1.82,2.12E-06
440.13236,negative,-1.11,0.027069725
442.01703,negative,-1.1,3.77E-05
445.05305,negative,1.73,1.20E-05
445.15748,negative,-2,0.000108222
445.36875,negative,1.54,0.000743525
448.30684,negative,-0.73,0.26760904
451.34299,negative,0.03,0.436955658
460.32803,negative,0.48,0.145127608
463.28305,negative,1.81,2.46E-06
480.30959,negative,0.73,1.21E-05
465.30435,negative,0.46,0.02433475
465.29849,negative,1.08,2.26E-06
478.29396,negative,0.76,0.000151852
480.98195,negative,-1.14,0.000463661
481.16399,negative,1.16,9.69E-05
481.97723,negative,-0.5,0.003579543
482.96114,negative,-0.86,0.002859797
492.30954,negative,1.36,2.23E-06
498.26282,negative,0.75,0.002687076
498.28944,negative,-0.97,0.011438215
500.27836,negative,0.63,0.006997965
505.98827,negative,-0.79,0.000279384
506.32524,negative,0.72,0.013816514
508.47356,negative,0.78,0.005063444
514.28451,negative,-1.7,0.014459067
521.98338,negative,-0.93,0.00081538
522.28376,negative,0.23,0.801975695
524.29944,negative,-0.56,0.000592747
528.30983,negative,0.53,0.024282262
535.03714,negative,-1.94,5.86E-06
544.18835,negative,-2.49,2.84E-06
551.34669,negative,-1.11,0.000369555
558.06425,negative,-0.77,0.000225197
577.37464,negative,0.28,0.179688354
586.05929,negative,-1.34,0.099844735
597.30457,negative,-0.6,0.004160797
599.3203,negative,-0.3,0.024671474
604.06993,negative,-0.21,0.234610334
604.43481,negative,0.5,0.196023368
619.28887,negative,-0.76,0.002837127
631.43484,negative,0.02,0.425599344
632.20438,negative,-1.21,3.22E-05
632.46648,negative,0.09,0.569835298
659.46605,negative,0.18,0.109365403
665.21451,negative,-4.13,2.31E-05
671.46564,negative,-0.21,0.455590362
672.49735,negative,-0.52,0.059366991
673.0914,negative,-1.68,4.71E-05
673.23072,negative,-0.75,0.025970163
685.48151,negative,0.49,7.17E-05
693.47101,negative,1.63,0.000740999
695.46536,negative,0.82,0.002149993
700.52892,negative,-0.7,0.191500253
702.50809,negative,0.07,0.958105705
712.4927,negative,0.66,7.99E-05
719.48665,negative,1.05,5.02E-05
721.48154,negative,1.23,5.78E-06
784.51346,negative,0.99,0.00250076
745.50249,negative,1.16,0.000394958
747.51819,negative,0.53,0.009888217
753.23898,negative,0.1,0.829604919
771.51843,negative,1.08,4.97E-05
773.53394,negative,0.84,0.003514964
793.50263,negative,0.19,0.098238059
788.5238,negative,1.15,1.41E-05
791.48677,negative,1.43,2.13E-05
850.56042,negative,1.21,0.000111441
807.50264,negative,0.65,0.121498064
810.52918,negative,0.78,0.012932933
815.48656,negative,1.6,0.001557306
817.50254,negative,0.98,0.000315427
819.51818,negative,0.59,0.005348914
827.2672,negative,-3.5,1.56E-05
832.60788,negative,-0.91,0.000101399
838.56124,negative,-0.1,0.99593957
843.51834,negative,1.01,0.000239397
857.51835,negative,0.33,0.747914982
861.54989,negative,0.37,0.891768791
865.50235,negative,0.66,0.003423705
885.54955,negative,-0.11,0.389553155
878.59174,negative,1.28,0.004242368
883.53398,negative,1.03,0.036680012
