m.z,mode,t.score,p.value
276.15542,positive,-0.59,0.016529714
276.18059,positive,-3.32,9.80E-06
277.11431,positive,-1.18,0.000129795
278.09829,positive,-1.28,0.004355969
281.14959,positive,0.04,0.668363018
279.1704,positive,0.68,0.048799417
282.11837,positive,-1.28,0.013915127
283.07471,positive,-0.85,9.89E-05
286.13977,positive,-0.47,0.930362641
286.17614,positive,-0.83,0.084710671
288.11904,positive,-0.61,0.015414194
306.07548,positive,-0.61,0.001180871
288.20303,positive,0.06,0.683788479
288.21698,positive,-0.56,0.000285899
335.10604,positive,-1.11,0.036598073
289.16194,positive,0.14,0.383086965
289.1619,positive,-0.65,0.006760153
309.12928,positive,-1.26,0.01276772
291.12996,positive,-0.61,0.000502276
294.14495,positive,0.12,0.844076883
298.09686,positive,-0.52,0.000187727
298.09686,positive,-0.88,0.000198237
302.13471,positive,0.3,0.982268473
302.17109,positive,-0.24,0.17761853
302.17108,positive,-0.22,0.136894239
302.3054,positive,0.82,0.003516184
302.3054,positive,0.79,0.106000349
349.1176,positive,-1.59,9.88E-06
303.17758,positive,0.6,0.001836854
303.17758,positive,0.38,0.060586749
304.11413,positive,0.89,0.000726053
304.16157,positive,0.17,0.402127945
613.15942,positive,-0.75,0.01612591
305.09799,positive,-3.11,6.64E-07
305.18198,positive,-0.18,0.261036366
306.16589,positive,-0.3,0.109878658
307.11112,positive,-1.62,0.026239829
307.22683,positive,1.11,0.088369477
310.17618,positive,4.84,8.55E-06
316.15031,positive,-0.88,0.895836415
316.15028,positive,-0.19,0.241914566
316.24828,positive,-0.92,9.62E-06
319.07239,positive,-1.23,6.49E-05
317.14565,positive,-2.09,1.43E-05
318.12961,positive,-0.05,0.99786609
320.18165,positive,-0.14,0.760040383
319.12485,positive,-1.15,0.001801491
323.22177,positive,0.9,0.097478191
326.20746,positive,0.8,0.001236092
343.12352,positive,-0.65,0.167926245
325.15405,positive,-1.07,0.000859312
325.27383,positive,0.14,0.6605919
346.19728,positive,-3.64,0.000404107
327.15847,positive,-0.37,0.033199259
330.07306,positive,-1.03,0.001635401
332.14527,positive,-0.04,0.731120775
330.16595,positive,-1.62,0.002428838
330.23881,positive,0.33,0.041122537
333.14053,positive,-0.39,0.047523836
332.14525,positive,0.03,0.788577534
332.14518,positive,-0.9,0.62693424
664.11661,positive,-1.3,7.76E-06
333.09044,positive,-2.19,0.001901233
336.14022,positive,-0.38,0.012069026
335.10605,positive,-1.46,0.022565988
335.10607,positive,-1.01,0.079721189
336.08746,positive,2.21,3.09E-06
338.1712,positive,-0.03,0.961580473
338.18236,positive,0.4,0.000161069
339.28937,positive,0.69,0.000262438
340.15367,positive,-1.89,7.53E-06
342.26391,positive,-0.03,0.926325152
342.30026,positive,-0.72,0.08072451
343.04011,positive,-1.84,1.54E-06
343.15348,positive,0.91,0.001997544
343.16463,positive,-0.83,0.000721538
344.25438,positive,0.32,0.089059592
344.27954,positive,-0.06,0.667234914
344.31596,positive,-0.48,0.109217637
346.16088,positive,-0.9,0.000308474
364.12853,positive,-1.63,0.002775417
347.14971,positive,-0.31,0.598121148
349.13534,positive,-0.86,0.714288435
351.10095,positive,-1.29,0.050664507
352.16486,positive,-0.53,0.019738897
353.11657,positive,-1.26,0.018516098
353.11659,positive,-1.33,0.037832646
353.11655,positive,-2.4,0.000506306
358.19727,positive,-0.52,0.051652149
360.14016,positive,-0.07,0.676961559
358.2702,positive,0.29,0.111431548
361.18309,positive,-0.25,0.088319425
359.13504,positive,-0.95,0.002129868
361.20814,positive,-0.21,0.285384308
362.13803,positive,-0.59,0.038898548
360.14012,positive,1.11,0.00168989
381.10758,positive,-1.71,1.94E-05
361.0874,positive,2.07,3.49E-06
361.27375,positive,1.14,1.90E-05
362.0838,positive,2.08,6.17E-06
369.35159,positive,0.39,0.191911212
370.29521,positive,0.64,0.031071804
373.20818,positive,-0.2,0.701786908
373.20817,positive,-0.24,0.106251655
373.20813,positive,-0.82,0.00261214
374.15581,positive,-0.02,0.63333097
372.31081,positive,0.36,0.120949965
744.08305,positive,-1.74,3.30E-06
375.19866,positive,0.02,0.995524759
375.22382,positive,-0.3,0.03175085
375.22381,positive,0.02,0.952283691
374.21467,positive,-0.02,0.844159359
377.17796,positive,-0.01,0.606581819
375.22382,positive,-0.22,0.127185402
378.16601,positive,-0.6,0.011637697
381.14551,positive,-0.63,0.004068078
382.17213,positive,-0.33,0.094676893
384.15139,positive,-0.18,0.931318323
385.27376,positive,0.78,0.001289881
386.32652,positive,1.04,0.001285707
389.13205,positive,-1.15,0.000276113
387.28937,positive,1.66,2.08E-05
389.30496,positive,1.69,0.000317922
390.1984,positive,-0.22,0.114661065
391.18241,positive,0.71,0.102533294
391.19367,positive,0.93,0.011211305
391.19372,positive,-0.29,0.672805407
391.21877,positive,-0.1,0.293412484
398.32651,positive,1.01,0.003145877
399.14455,positive,-0.82,3.00E-05
401.21429,positive,-0.28,0.143359077
401.23957,positive,0.28,0.209985625
400.34212,positive,0.6,0.03148199
403.19359,positive,0.28,0.298968007
403.22998,positive,0.13,0.984306953
403.22998,positive,0.13,0.486721927
401.34161,positive,0.77,0.009894169
403.23001,positive,-1.73,0.891914961
405.19836,positive,0.6,0.186202513
408.32375,positive,-0.75,0.00186232
414.35786,positive,1.35,5.10E-05
417.24573,positive,0.91,0.011126462
416.33704,positive,0.61,0.00429159
419.18852,positive,0.7,0.099527532
419.1886,positive,-0.54,0.000230427
419.22496,positive,-0.43,0.001768084
419.21377,positive,-0.19,0.51483471
852.18035,positive,-1.82,0.004861514
426.35784,positive,1.39,0.000313323
428.37341,positive,1.23,0.000166433
433.20421,positive,-0.12,0.346674953
440.40987,positive,1.36,0.000660703
445.24044,positive,-0.53,0.012581251
452.2772,positive,0.65,0.060235267
454.29288,positive,0.17,0.345774333
456.40477,positive,1.6,0.00013714
458.18172,positive,-0.62,0.003370308
459.25624,positive,-0.79,0.00513638
468.30845,positive,0.71,0.004561897
470.14391,positive,-1.83,6.97E-06
468.30853,positive,0.25,0.172231188
472.25151,positive,-0.86,1.82E-05
474.35782,positive,0.77,0.024524329
496.33983,positive,0.93,0.000191449
480.3449,positive,-0.3,0.239533956
482.36059,positive,-0.1,0.550384203
482.32432,positive,1.3,6.14E-05
489.11474,positive,0.36,0.030281866
510.3555,positive,1.73,2.84E-06
499.2069,positive,-0.78,3.71E-05
506.20275,positive,-0.49,0.045829834
506.36058,positive,-0.08,0.910190717
508.00307,positive,-0.94,0.001656738
508.37623,positive,-0.29,0.155926722
508.37621,positive,0.55,0.051019828
510.39185,positive,0.03,0.972521613
513.22239,positive,-1.09,0.000900471
522.35548,positive,1.06,0.00028625
526.29299,positive,0.89,0.004534719
538.08359,positive,-0.43,0.019639031
536.37117,positive,1.59,2.36E-05
542.3236,positive,1.59,0.000138024
547.24722,positive,2.54,0.000260599
547.47225,positive,1.4,0.000609482
548.37131,positive,1.59,2.51E-05
550.38689,positive,1.43,1.64E-05
549.48796,positive,0.44,0.000770266
552.40265,positive,1.25,7.70E-06
559.15825,positive,-1.46,6.90E-06
560.07915,positive,-1.73,2.83E-06
568.3399,positive,1.13,0.005053164
570.35561,positive,1.46,0.001107328
573.48795,positive,1.1,6.70E-06
577.51925,positive,-0.03,0.996553271
577.51945,positive,-0.45,0.756249991
578.41815,positive,1.38,5.41E-05
580.43397,positive,0.84,0.048762147
602.34863,positive,2.17,0.000111067
606.4495,positive,1.18,4.63E-05
613.15941,positive,-1.8,5.47E-05
636.49657,positive,1.24,0.000303955
638.57277,positive,0.53,0.338817453
647.51254,positive,1.06,0.001909858
650.47527,positive,1.29,0.001618051
662.51254,positive,-0.03,0.942545518
664.11668,positive,-0.53,0.206591771
664.52765,positive,0.39,0.002547492
675.54385,positive,0.89,0.000425352
678.50705,positive,-0.42,0.003432853
676.49077,positive,0.6,0.003311118
676.52858,positive,-0.54,0.033520408
688.49127,positive,0.58,0.438528636
690.50723,positive,-0.21,0.124839382
706.53849,positive,-0.25,0.031615551
690.54339,positive,-0.99,2.18E-06
692.55926,positive,-1.04,4.91E-05
692.52296,positive,-0.14,0.226407183
700.52801,positive,-0.16,0.99446611
702.50813,positive,0.61,0.2279514
703.5751,positive,-0.55,0.16115088
704.52274,positive,0.34,0.04905415
716.5228,positive,0.4,0.000770163
716.55909,positive,-0.32,0.014060502
717.55417,positive,0.1,0.56696369
718.53937,positive,0.4,0.000702555
718.53815,positive,-0.19,0.99119479
738.50732,positive,0.82,0.000358415
718.57475,positive,-0.63,0.000459023
724.52795,positive,-0.14,0.163657157
742.53897,positive,-0.14,0.72450601
725.42912,positive,-5.76,0.124371953
730.5386,positive,0.71,0.000301395
729.5907,positive,-0.39,0.22020371
734.49701,positive,-0.03,0.722722019
732.55406,positive,0.16,0.109638623
736.49129,positive,1.06,0.000163374
744.55414,positive,0.29,0.06883388
760.58526,positive,0.02,0.528055271
744.59038,positive,-0.43,0.003518244
762.50753,positive,1.04,0.000293274
764.52278,positive,0.94,5.14E-05
746.60595,positive,-0.67,0.002703184
746.57023,positive,0.44,0.000843043
756.55423,positive,1.13,2.39E-05
758.56972,positive,0.9,7.24E-05
774.60144,positive,0.28,0.015469901
760.51269,positive,0.53,0.006890776
764.55778,positive,0.56,0.070831222
764.55904,positive,1.43,1.93E-05
766.57475,positive,0.76,0.000261954
768.59054,positive,0.29,0.017038628
770.569,positive,1.64,0.520915496
772.62159,positive,-0.79,0.000801963
774.52872,positive,1.09,0.000359109
792.55427,positive,0.87,0.000405643
776.55949,positive,0.52,0.001453937
780.55416,positive,1.49,2.99E-05
784.51114,positive,0.04,0.422507244
786.60103,positive,0.91,3.50E-05
792.59049,positive,0.77,0.000217599
794.60626,positive,0.44,0.003536349
814.56017,positive,0.05,0.55990658
802.55967,positive,0.21,0.159249581
804.55407,positive,1.59,0.003003288
806.56969,positive,1.58,5.87E-06
811.66903,positive,-0.25,0.984765328
814.63267,positive,0.59,0.00398856
818.60614,positive,0.89,0.000118202
820.62197,positive,0.47,0.009907668
832.58534,positive,1.34,2.33E-05
834.60131,positive,1.59,1.53E-06
838.55982,positive,0.04,0.460424243
844.60719,positive,-0.59,0.65470552
850.66849,positive,0.02,0.557288337
856.58607,positive,3,0.006175485
860.61735,positive,1.9,4.86E-05
158.04587,negative,-0.45,0.014617378
229.0466,negative,-0.23,0.044409957
257.07792,negative,-0.21,0.198388434
281.2486,negative,0.91,0.329750791
302.05177,negative,-2.77,1.20E-06
318.14601,negative,-0.5,0.161803815
392.14627,negative,-0.35,0.010390721
94.98062,negative,-0.38,0.006536538
78.91887,negative,-0.75,0.000912279
87.00877,negative,-1.44,0.000431622
89.02442,negative,-1.22,0.000240254
101.06081,negative,-0.85,0.00350453
104.03532,negative,0.16,0.497848408
124.00741,negative,-0.78,4.92E-05
111.02001,negative,0.14,0.999953359
112.93727,negative,-0.92,0.151361075
131.04623,negative,0.28,0.410848838
133.01426,negative,-0.47,0.001718728
124.9914,negative,-1.8,7.22E-05
128.03531,negative,-0.68,0.002510792
147.02987,negative,-0.19,0.104233405
129.05574,negative,-0.57,0.005280439
130.05098,negative,0.22,0.172958473
130.05097,negative,-0.13,0.638338765
132.03023,negative,2.78,4.41E-07
132.03023,negative,0,0.998928929
133.05064,negative,-0.7,0.002262354
178.05096,negative,-0.59,0.00208182
135.02991,negative,0.04,0.965577526
138.02303,negative,-1.75,1.93E-06
188.05644,negative,-0.4,0.024668127
145.01429,negative,-1.31,1.02E-06
146.04588,negative,1.04,0.000116605
164.07169,negative,-0.13,0.196612428
151.02616,negative,-2.38,0.001707732
152.00231,negative,-0.32,0.318504677
306.07649,negative,-1.43,3.87E-05
154.02747,negative,-0.88,6.86E-05
154.06221,negative,0.19,0.742996594
174.04079,negative,-1.18,8.76E-06
157.03669,negative,-0.06,0.62125257
158.08226,negative,-0.44,0.01654367
159.0775,negative,-0.1,0.570680382
160.06153,negative,-0.01,0.957769015
160.06152,negative,-0.29,0.146302062
161.04555,negative,-1.06,3.28E-05
179.0561,negative,-1.3,5.03E-05
161.08196,negative,-0.34,0.175003707
164.03868,negative,-0.19,0.378388872
166.01796,negative,0.53,0.003373258
166.97508,negative,-0.55,0.124387806
168.0431,negative,-0.8,0.000957579
168.98122,negative,-1.96,6.41E-06
168.99075,negative,0.07,0.916146696
171.00641,negative,2.38,4.84E-06
171.0064,negative,-0.52,0.02056121
172.09791,negative,0.35,0.092484753
191.01972,negative,0.09,0.684269605
173.00915,negative,-0.07,0.890044082
191.01973,negative,0.19,0.908922515
173.08192,negative,0.38,0.368483616
175.03603,negative,2.97,0.000267443
353.0489,negative,-1.08,0.022579583
176.03868,negative,-2.15,0.000350942
176.03869,negative,-0.02,0.910185651
176.93594,negative,-1.12,5.95E-05
178.05097,negative,-1.05,0.02849437
178.05096,negative,-0.55,0.001560031
179.05612,negative,-0.46,0.278443464
180.03361,negative,-1.55,2.65E-05
180.03358,negative,0.88,0.000592174
181.05064,negative,-0.51,0.010324308
227.10376,negative,-0.38,0.825653087
184.98566,negative,-0.42,0.078323724
184.98565,negative,-0.57,0.24001025
187.00705,negative,-0.85,0.089931989
187.07243,negative,0.48,0.007247669
187.09756,negative,0.13,0.987784246
188.06767,negative,-2.24,0.000100995
188.06767,negative,-0.1,0.780812224
378.09756,negative,-0.69,0.005496127
190.05435,negative,1.8,4.01E-06
191.0496,negative,-2.09,0.000175708
191.06735,negative,-0.17,0.856806494
191.08262,negative,-1.07,0.000539804
192.06662,negative,-0.74,0.004070958
195.05102,negative,-6.19,7.46E-10
195.05101,negative,0.58,0.001226582
196.02852,negative,-1.03,0.002731019
392.18265,negative,-4.56,3.84E-05
199.07241,negative,-1,0.041243729
199.17035,negative,0.17,0.552884979
201.12449,negative,-0.2,0.737791554
202.08332,negative,0.32,0.297651428
218.1034,negative,-0.99,2.81E-05
203.06735,negative,0.09,0.775173713
204.06663,negative,-1.12,0.057387104
204.98123,negative,-0.34,0.013701097
205.03536,negative,-0.78,0.00054222
206.08225,negative,-0.93,0.045046047
211.00131,negative,-0.16,0.383876898
215.12889,negative,0.84,0.972097276
216.05136,negative,-2.65,8.30E-07
217.03297,negative,-6.5,2.37E-06
217.08303,negative,0.19,0.728150735
218.06701,negative,-0.03,0.611713715
218.07823,negative,-0.61,0.181574574
218.07823,negative,0.17,0.571881111
219.07751,negative,5.74,1.57E-07
222.09836,negative,-0.86,0.000276447
223.03943,negative,-0.38,0.162706465
223.03941,negative,-0.01,0.655895282
226.99622,negative,-0.61,0.001348754
227.20165,negative,-3.48,0.08003377
229.01187,negative,-1.04,0.003007689
229.13463,negative,-1.36,0.034785567
230.11469,negative,0.12,0.999815511
230.11466,negative,-1.36,0.636989252
231.09864,negative,0.51,0.00821404
231.13508,negative,-0.05,0.992714733
232.09385,negative,2.69,1.42E-05
235.03943,negative,-0.48,0.144676004
236.02344,negative,-0.85,0.00022103
236.09285,negative,0.25,0.045226514
237.09139,negative,-0.77,0.005417287
239.01415,negative,-0.25,0.017716272
239.23805,negative,-1.05,0.001257971
241.01188,negative,-1.33,0.000152822
241.01188,negative,-0.82,0.000334325
241.07312,negative,-0.1,0.59835417
242.11453,negative,-0.52,0.885476727
242.11462,negative,-3.2,0.010416605
243.02751,negative,-0.7,0.002063744
243.0809,negative,-1.19,7.84E-05
243.0809,negative,-1.18,0.000526138
244.05915,negative,-0.17,0.074232998
245.04318,negative,-0.43,0.01744876
261.07281,negative,1.06,0.000133905
245.07789,negative,1.12,0.007280757
245.08913,negative,-0.52,0.204966727
245.08916,negative,-0.26,0.203591885
246.07313,negative,-0.63,0.003769968
246.10951,negative,2.17,0.117754393
247.09357,negative,-0.15,0.593722044
251.07069,negative,-1.52,0.003328046
252.01836,negative,-1.69,2.11E-05
253.04997,negative,-1.04,1.74E-05
253.09289,negative,-2.16,6.79E-07
254.99108,negative,-1.01,1.94E-05
255.23295,negative,1.17,0.17605372
256.09391,negative,0.22,0.202459117
258.03842,negative,-1.7,1.16E-06
274.14086,negative,-0.79,0.000126221
259.02243,negative,-0.36,0.312254134
259.02242,negative,-1.85,2.14E-06
259.10478,negative,0.03,0.844133639
259.1048,negative,-0.1,0.340161831
260.08882,negative,-1.34,4.45E-05
260.08878,negative,0.21,0.459969038
260.08883,negative,0.71,0.253858102
260.12522,negative,0.74,0.445184599
260.12521,negative,-4.62,0.000156169
265.01925,negative,-0.93,0.000755114
267.06562,negative,-1.02,0.026113389
267.09084,negative,-0.91,0.056097304
267.09862,negative,0.42,0.80790555
268.10516,negative,0.01,0.826013265
271.00399,negative,-0.27,0.084861641
271.00471,negative,-1.59,0.00021504
271.22785,negative,-0.05,0.600404048
272.12522,negative,-0.71,0.998274105
272.12521,negative,-0.05,0.552533018
272.16161,negative,-0.81,0.55899768
272.1616,negative,-0.14,0.792881405
273.00164,negative,0.55,0.006958373
273.03808,negative,0.05,0.819532345
273.07279,negative,-1.64,5.74E-05
273.07626,negative,-0.51,0.360965102
290.08815,negative,-1.07,0.000544888
274.10446,negative,0.3,0.004152614
274.10446,negative,0.03,0.999875626
274.1045,negative,-3.75,0.076275255
274.14084,negative,-0.91,0.002298015
275.01735,negative,-1.87,0.004771769
275.08851,negative,0.03,0.577452435
275.09972,negative,-1.02,0.000900937
275.09972,negative,-0.81,0.007242168
275.09973,negative,-0.36,0.077114192
275.10375,negative,-0.53,0.165404419
276.08372,negative,-0.55,0.000516094
279.0809,negative,1.34,0.005159746
279.10208,negative,-1.23,3.30E-05
279.23295,negative,1.13,0.334212692
565.04754,negative,-0.69,0.000220563
283.0684,negative,3.67,0.025349415
283.26422,negative,1.55,0.166858293
302.13576,negative,-1.62,0.106429068
284.16157,negative,-0.73,0.001570245
284.16161,negative,-0.89,0.000212169
285.12037,negative,-3.38,0.20760616
303.13101,negative,-0.64,0.000676203
286.17725,negative,-1.23,0.01663904
288.12012,negative,-0.86,0.000279726
288.1201,negative,-0.62,0.051560202
288.12012,negative,-1.57,0.000627532
289.03301,negative,-1.77,0.003648708
579.02681,negative,-1.75,6.60E-05
333.09152,negative,-0.81,0.145089138
289.11539,negative,-0.04,0.993377048
290.09938,negative,0.83,0.054018096
588.07495,negative,-1.17,1.29E-05
294.99342,negative,0.17,0.251304636
295.04279,negative,-0.3,0.786676305
295.09357,negative,-0.81,0.282411848
298.02836,negative,-5.74,1.99E-07
316.15131,negative,1.14,0.59761962
300.04899,negative,-0.72,0.000391066
301.15178,negative,-0.21,0.241001522
302.09938,negative,0.66,0.001147901
302.13576,negative,-0.92,5.53E-05
302.13574,negative,-1.53,0.0001391
606.07411,negative,-1.31,1.54E-05
303.08342,negative,-0.51,0.083897367
303.09463,negative,-0.66,0.452755226
304.03401,negative,-0.47,0.139681717
304.13368,negative,0.27,0.0062237
