m.z,mode,p.value,t.score
367.35807,negative,0.946933014,0.24
370.14019,negative,0.442459642,-0.65
371.15717,negative,3.92E-07,4.13
371.15719,negative,2.02E-13,3.83
371.19353,negative,1.09E-06,2.67
372.21393,negative,1.06E-05,5.54
373.17277,negative,0.000437115,5.03
374.15682,negative,1.06E-08,5.92
375.11567,negative,5.58E-06,1.93
375.13114,negative,6.42E-14,4.75
375.15204,negative,4.08E-10,3.86
376.11828,negative,0.935810463,0.15
378.09759,negative,0.030812243,-0.51
378.13401,negative,0.000841176,-0.56
378.1306,negative,0.000989601,3.61
760.51335,negative,0.388934254,0.35
380.01525,negative,0.001020236,-1.65
381.18913,negative,0.001610567,4
382.17315,negative,5.27E-06,6.06
766.1079,negative,0.074613198,-0.44
383.35292,negative,0.99183596,0.41
774.52898,negative,0.931235807,0.17
389.16774,negative,6.53E-05,4.86
389.16784,negative,9.49E-07,2.83
784.1499,negative,0.445406552,-0.13
392.11325,negative,0.943017477,-0.01
786.52895,negative,0.18713099,0.38
399.14421,negative,0.005604834,-0.67
401.05067,negative,0.014979819,-0.46
417.19915,negative,6.10E-08,4.52
401.21526,negative,2.72E-08,4.54
401.24047,negative,6.79E-07,4.99
402.01086,negative,0.060158625,-0.46
402.99482,negative,0.020444284,-0.54
403.1835,negative,2.93E-05,3.06
403.18337,negative,2.58E-08,4.91
403.19458,negative,1.27E-13,4.5
808.11823,negative,0.002146583,-0.66
417.19904,negative,3.06E-06,4.78
836.14989,negative,0.157334428,-0.26
419.2146,negative,0.001144693,2.03
426.02206,negative,0.07693889,-0.41
429.23543,negative,4.46E-07,3.69
431.18946,negative,8.35E-10,3.82
431.19357,negative,0.003547755,3.7
435.17321,negative,0.000232972,-0.91
436.28337,negative,0.999976806,0.1
437.26732,negative,0.241271022,0.16
440.13236,negative,0.414568561,-0.16
442.01703,negative,0.000851243,-0.6
445.05305,negative,0.00247233,-0.77
445.15748,negative,0.074015681,-0.49
445.36875,negative,0.001719265,1.16
448.30684,negative,0.985794115,-0.08
451.34299,negative,0.695636627,-0.04
460.32803,negative,0.131642176,0.4
463.28305,negative,0.296981501,0.21
480.30959,negative,0.970265453,0.04
465.30435,negative,0.089426969,0.49
465.29849,negative,0.160408887,0.07
478.29396,negative,0.585869267,0.19
480.98195,negative,0.002060441,-0.8
481.16399,negative,0.040772826,0.34
481.97723,negative,0.00183632,-0.64
482.96114,negative,0.004458649,-0.89
492.30954,negative,0.050801577,0.17
498.26282,negative,0.780665227,0.02
498.28944,negative,0.653030742,-0.08
500.27836,negative,0.417983668,0.15
505.98827,negative,0.000471043,-0.73
506.32524,negative,0.993718683,0.05
508.47356,negative,0.011953335,0.6
514.28451,negative,0.51803719,-0.27
521.98338,negative,0.001745815,-0.78
522.28376,negative,0.181940725,-0.18
524.29944,negative,0.000972589,-0.52
528.30983,negative,0.135993179,0.32
535.03714,negative,0.003336274,-0.72
544.18835,negative,0.000599668,-0.86
551.34669,negative,0.922028628,0.04
558.06425,negative,0.002338158,-0.53
577.37464,negative,0.628889597,0.17
586.05929,negative,0.59663851,-0.41
597.30457,negative,0.019448473,-0.55
599.3203,negative,0.006782732,-0.52
604.06993,negative,0.001152402,-0.8
604.43481,negative,0.91268675,-0.02
619.28887,negative,0.024999343,-0.58
631.43484,negative,0.282454904,0.19
632.20438,negative,0.001078706,-0.62
632.46648,negative,0.991736033,-0.03
659.46605,negative,0.066407558,0.17
665.21451,negative,0.00379727,-1.77
671.46564,negative,0.018717575,0.5
672.49735,negative,0.968152432,0.03
673.0914,negative,0.002077861,-0.88
673.23072,negative,0.032644982,-0.68
685.48151,negative,0.003961725,0.18
693.47101,negative,0.616245094,-0.2
695.46536,negative,0.033429236,0.56
700.52892,negative,0.600670254,-0.35
702.50809,negative,0.923544181,0.07
712.4927,negative,0.419558239,0.03
719.48665,negative,0.000100366,0.88
721.48154,negative,0.002780631,0.37
784.51346,negative,0.028836012,0.49
745.50249,negative,0.000735926,1.09
747.51819,negative,0.011046084,0.5
753.23898,negative,0.12282562,0.21
771.51843,negative,4.56E-05,1.01
773.53394,negative,0.000737717,1.01
793.50263,negative,0.004667743,0.56
788.5238,negative,0.003432882,0.43
791.48677,negative,3.76E-05,1.36
850.56042,negative,0.010745515,0.39
807.50264,negative,0.051703984,0.58
810.52918,negative,0.080093755,0.38
815.48656,negative,0.020177391,0.96
817.50254,negative,0.00052002,0.91
819.51818,negative,0.000575871,0.97
827.2672,negative,0.001014231,-1.83
832.60788,negative,0.017713634,0.27
838.56124,negative,0.548157075,0.21
843.51834,negative,0.000697322,0.88
857.51835,negative,0.33850963,0.28
861.54989,negative,0.48156447,0.38
865.50235,negative,0.002353864,0.75
885.54955,negative,0.749538814,0.22
878.59174,negative,0.041317794,0.79
883.53398,negative,0.209953964,0.49
