"","Pathway_Total","Hits","P_val","P_adj","NES",""
"Citrate cycle (TCA cycle)","16","8","1","1","0","C00026;C00311;C00024;C00149;C00417;C00158;C00022;C00074"
"Pentose phosphate pathway","23","15","1","1","0","C00668;C01801;C00117;C00620;C00118;C05382;C00199;C00085;C00354;C00345;C01236;C01172;C00257;C00231;C00631"
"Pentose and glucuronate interconversions","18","8","1","1","0","C00167;C00029;C00103;C00800;C00199;C00231;C02266;C00789"
"Fructose and mannose metabolism","20","13","1","1","0","C00095;C00159;C00665;C00275;C02985;C01222;C00096;C00636;C00085;C00118;C01094;C00577;C00354;C01720;C00267;C00325;C00111;C03827"
"Galactose metabolism","27","11","1","1","0","C01613;C01097;C00089;C05402;C00124;C05401;C05400;C01235;C00267;C00243;C00103;C00052;C00029;C00446;C00984;C00668;C03785;C00095;C00031;C00159;C00137"
"Steroid biosynthesis","40","2","1","1","0","C01561;C01189;C03845;C00187"
"Primary bile acid biosynthesis","46","7","1","1","0","C00187;C05455;C05453;C00037;C00245;C06341;C15520;C05445;C15518;C05466;C05465;C05122"
"Steroid hormone biosynthesis","87","3","1","1","0","C00187;C05499;C05501;C18043"
"Purine metabolism","70","18","1","1","0","C00035;C00385;C00117;C00064;C00002;C00008;C00020;C00212;C01762;C00144;C00330;C00044;C00362;C00361;C00387;C04376;C00620;C00301;C00286;C02350"
"Pyrimidine metabolism","39","16","1","1","0","C00015;C00064;C00105;C00075;C02642;C00063;C00112;C00055;C00365;C00459;C00364;C21029;C00438;C00106;C00099;C01205"
"Alanine, aspartate and glutamate metabolism","28","16","1","1","0","C01042;C00049;C00152;C00402;C03406;C00041;C00025;C00334;C00064;C12270;C00158;C00022;C00438;C00026;C00352;C20775"
"Glycine, serine and threonine metabolism","30","11","1","1","0","C00065;C00197;C01026;C00037;C00213;C00188;C00631;C00740;C00300;C00022;C00430"
"Valine, leucine and isoleucine degradation","35","7","1","1","0","C00024;C02939;C00671;C00630;C00407;C03284;C15980;C00233;C00123;C01205"
"Valine, leucine and isoleucine biosynthesis","8","3","1","1","0","C00188;C00671;C00123;C00407;C00233"
"Arginine and proline metabolism","35","17","1","1","0","C00062;C00300;C00019;C00334;C02714;C01035;C04281;C01157;C00148;C05938;C01165;C00025;C00763;C05147;C02305;C02946;C00022"
"Tyrosine metabolism","42","7","1","1","0","C01693;C05589;C05583;C00547;C00788;C05588;C00082;C04185;C05582;C00022"
"Tryptophan metabolism","41","9","1","1","0","C05635;C00643;C02700;C00328;C05653;C05648;C05634;C05647;C05660;C00024;C00954"
"D-Amino acid metabolism","15","12","1","1","0","C00819;C00217;C00402;C00065;C00792;C00763;C03440;C02237;C00740;C03771;C01110;C04282"
"Starch and sucrose metabolism","12","9","1","1","0","C00185;C00095;C00089;C00029;C00103;C00092;C00031;C01083;C00208;C00252;C00085;C01231"
"Amino sugar and nucleotide sugar metabolism","39","18","1","1","0","C00357;C04501;C00043;C00270;C00446;C00029;C00103;C00167;C00352;C00275;C00096;C00267;C00984;C00636;C00325;C02985;C00668;C00159;C00095;C00329;C00085;C18060;C04257;C00052;C00190;C01222;C00203"
"Glycerolipid metabolism","7","5","1","1","0","C00093;C00184;C00577;C00111;C00631"
"Inositol phosphate metabolism","21","9","1","1","0","C01220;C04063;C04062;C00092;C03546;C04006;C00137;C01177;C00222;C00111;C00024;C00118"
"Sphingolipid metabolism","11","4","1","1","0","C00836;C00319;C00065;C02934;C01747;C03108"
"Pyruvate metabolism","20","7","1","1","0","C00074;C03451;C00256;C00022;C00149;C00186;C00024"
"Glyoxylate and dicarboxylate metabolism","31","11","1","1","0","C00417;C00024;C00149;C00065;C00037;C00025;C00311;C00022;C00158;C00064;C00631"
"Vitamin B6 metabolism","9","3","1","1","0","C00314;C00250;C00847"
"Lipoic acid metabolism","17","4","1","1","-0.6333","C00022;C00026;C00037;C00024"
"Folate biosynthesis","26","4","1","1","0","C05922;C00044;C00504;C00921;C18239;C21310"
"Metabolism of xenobiotics by cytochrome P450","68","3","1","1","0","C19586;C16756;C14871;C19595;C19585;C19562"
"Drug metabolism - cytochrome P450","43","8","1","1","0","C16612;C16586;C16595;C16587;C16577;C16584;C16582;C16596;C16591"
