Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
369.35159,C00187,M-H2O+H [1+],1.35332300033042e-05
166.04983,C05653,M+H [1+],4.5999999997548e-05
166.04983,C00847,M-H2O+H [1+],4.64667700157406e-05
120.06552,C00188,M+H [1+],4.40000000025975e-05
180.10189,C05588,M-H2O+H [1+],1.35332300033042e-05
196.09682,C16586,M+H [1+],4.40000000310192e-05
76.03932,C00037,M+H [1+],4.40000000025975e-05
251.0696,C00669,M+H [1+],2.4000000024671e-05
128.07061,C00450,M+H [1+],3.39999999994234e-05
128.07061,C04076,M-H2O+H [1+],3.35332299812308e-05
128.07061,C02946,M-H2O+H [1+],3.35332299812308e-05
194.04478,C01693,M+H [1+],4.00000001832268e-06
194.04478,C04185,M+H [1+],4.00000001832268e-06
147.07642,C00064,M+H [1+],4.40000000310192e-05
147.07642,C21029,M+H [1+],4.40000000310192e-05
147.07642,C00819,M+H [1+],4.40000000310192e-05
266.0884,C00387,M-H2O+H [1+],2.35332299780566e-05
132.06552,C00430,M+H [1+],4.40000000025975e-05
132.06552,C01157,M+H [1+],4.40000000025975e-05
132.06552,C01165,M+H [1+],4.40000000025975e-05
132.06552,C05147,M+H [1+],4.40000000025975e-05
132.06552,C03440,M+H [1+],4.40000000025975e-05
132.06552,C01110,M+H [1+],4.40000000025975e-05
195.05102,C00257,M-H [1-],4.00000001832268e-06
195.05102,C00800,M-H [1-],4.00000001832268e-06
219.07751,C00643,M-H [1-],1.40000000214968e-05
219.07751,D00536,M-H2O-H [1-],0.000499999999988177
219.07751,C07501,M-H2O-H [1-],0.000499999999988177
132.03023,C00049,M-H [1-],5.99999998485146e-06
132.03023,C00402,M-H [1-],5.99999998485146e-06
253.09289,C05401,M-H [1-],3.39999999994234e-05
145.01429,C00026,M-H [1-],6.59999999754746e-05
258.03842,C00352,M-H [1-],4.00000004674439e-06
302.05177,C20775,M-H2O-H [1-],0.000560000000007221
259.02242,C00085,M-H [1-],3.99999998990097e-06
259.02242,C00668,M-H [1-],3.99999998990097e-06
259.02242,C00103,M-H [1-],3.99999998990097e-06
259.02242,C01172,M-H [1-],3.99999998990097e-06
259.02242,C00275,M-H [1-],3.99999998990097e-06
259.02242,C00636,M-H [1-],3.99999998990097e-06
259.02242,C01094,M-H [1-],3.99999998990097e-06
259.02242,C01097,M-H [1-],3.99999998990097e-06
259.02242,C00446,M-H [1-],3.99999998990097e-06
259.02242,C00092,M-H [1-],3.99999998990097e-06
259.02242,C03546,M-H [1-],3.99999998990097e-06
259.02242,C04006,M-H [1-],3.99999998990097e-06
259.02242,C01177,M-H [1-],3.99999998990097e-06
171.00641,C00093,M-H [1-],1.40000000214968e-05
535.03714,C00190,M-H [1-],8.39999999016072e-05
168.98122,C11537,M-H [1-],3.99999998990097e-06
174.04079,C01042,M-H [1-],3.40000000278451e-05
341.10885,C00089,M-H [1-],7.39999999836982e-05
341.10885,C05402,M-H [1-],7.39999999836982e-05
341.10885,C05400,M-H [1-],7.39999999836982e-05
341.10885,C01235,M-H [1-],7.39999999836982e-05
341.10885,C00243,M-H [1-],7.39999999836982e-05
341.10885,C00185,M-H [1-],7.39999999836982e-05
341.10885,C01083,M-H [1-],7.39999999836982e-05
341.10885,C00208,M-H [1-],7.39999999836982e-05
341.10885,C00252,M-H [1-],7.39999999836982e-05
445.05305,C00570,M-H [1-],7.40000000405416e-05
346.05571,C00020,M-H [1-],0.000114000000053238
346.05571,C00362,M-H [1-],0.000114000000053238
588.07495,C00325,M-H [1-],2.60000000480431e-05
606.07411,C00043,M-H [1-],0.000213999999914449
606.07411,C00203,M-H [1-],0.000213999999914449
253.04997,C05844,M-H [1-],5.40000000057717e-05
308.09872,C00270,M-H [1-],3.99999998990097e-06
665.21451,C01613,M-H [1-],0.000113999999939551
218.1034,C00864,M-H [1-],2.4000000024671e-05
161.04555,C03827,M-H [1-],2.59999999911997e-05
442.01703,C00035,M-H [1-],5.99999998485146e-06
306.07649,C00051,M-H [1-],3.40000000278451e-05
333.05926,C19562,M-H2O-H [1-],0.000749999999982265
124.00741,C00245,M-H [1-],1.4000000007286e-05
179.0561,C00221,M-H [1-],2.4000000024671e-05
179.0561,C00267,M-H [1-],2.4000000024671e-05
179.0561,C00095,M-H [1-],2.4000000024671e-05
179.0561,C00159,M-H [1-],2.4000000024671e-05
179.0561,C01720,M-H [1-],2.4000000024671e-05
179.0561,C00124,M-H [1-],2.4000000024671e-05
179.0561,C00984,M-H [1-],2.4000000024671e-05
179.0561,C00031,M-H [1-],2.4000000024671e-05
