Query.Mass,Matched.Compound,Matched.Form,Mass.Diff,Pathway.Name,Pathway.ID,Pathway.Compound.Total,Pathway.Match.By,Matched.Compound.Name,p.value,t.score,pos_inx,Feature.ID
241.01188,C00275,M-H2O-H [1-],0.000570000000010396,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Mannose 6-phosphate,0.000365825,-0.84,FALSE,241.01188
241.01188,C00636,M-H2O-H [1-],0.000570000000010396,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,D-Mannose 1-phosphate,0.000365825,-0.84,FALSE,241.01188
241.01188,C00446,M-H2O-H [1-],0.000570000000010396,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Galactose 1-phosphate,0.000365825,-0.84,FALSE,241.01188
243.02751,C02985,M-H [1-],1.39999999930751e-05,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Fucose 1-phosphate,0.034773356,-0.37,FALSE,243.02751
258.03842,C00352,M-H [1-],4.00000004674439e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Glucosamine 6-phosphate,3.7e-05,-0.9,FALSE,258.03842
259.02242,C00085,M-H [1-],3.99999998990097e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Fructose 6-phosphate,0.000230005,-0.83,FALSE,259.02242
259.02242,C00668,M-H [1-],3.99999998990097e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,alpha-D-glucose 6-phosphate,0.000230005,-0.83,FALSE,259.02242
259.02242,C00103,M-H [1-],3.99999998990097e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Glucose 1-phosphate,0.000230005,-0.83,FALSE,259.02242
259.02242,C00275,M-H [1-],3.99999998990097e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Mannose 6-phosphate,0.000230005,-0.83,FALSE,259.02242
259.02242,C00636,M-H [1-],3.99999998990097e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,D-Mannose 1-phosphate,0.000230005,-0.83,FALSE,259.02242
259.02242,C00446,M-H [1-],3.99999998990097e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Galactose 1-phosphate,0.000230005,-0.83,FALSE,259.02242
259.02243,C00085,M-H [1-],5.99999998485146e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Fructose 6-phosphate,0.022058477,-1.24,FALSE,259.02243
259.02243,C00668,M-H [1-],5.99999998485146e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,alpha-D-glucose 6-phosphate,0.022058477,-1.24,FALSE,259.02243
259.02243,C00103,M-H [1-],5.99999998485146e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Glucose 1-phosphate,0.022058477,-1.24,FALSE,259.02243
259.02243,C00275,M-H [1-],5.99999998485146e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Mannose 6-phosphate,0.022058477,-1.24,FALSE,259.02243
259.02243,C00636,M-H [1-],5.99999998485146e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,D-Mannose 1-phosphate,0.022058477,-1.24,FALSE,259.02243
259.02243,C00446,M-H [1-],5.99999998485146e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Galactose 1-phosphate,0.022058477,-1.24,FALSE,259.02243
290.08815,C00270,M-H2O-H [1-],0.000540000000000873,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,N-Acetylneuraminate,0.007249702,-0.64,FALSE,290.08815
300.04899,C00357,M-H [1-],3.40000000278451e-05,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,N-Acetyl-D-Glucosamine 6-Phosphate,0.00010776,-0.92,FALSE,300.04899
300.04899,C04501,M-H [1-],3.40000000278451e-05,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,N-Acetyl-glucosamine 1-phosphate,0.00010776,-0.92,FALSE,300.04899
300.04899,C18060,M-H [1-],3.40000000278451e-05,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,N-acetyl-alpha-D-galactosamine 1-phosphate,0.00010776,-0.92,FALSE,300.04899
300.04899,C04257,M-H [1-],3.40000000278451e-05,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,N-Acetyl-D-mannosamine 6-phosphate,0.00010776,-0.92,FALSE,300.04899
308.09872,C00270,M-H [1-],3.99999998990097e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,N-Acetylneuraminate,0.000431648,-0.92,FALSE,308.09872
535.03714,C00190,M-H [1-],8.39999999016072e-05,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Cotinine glucuronide,0.003336274,-0.72,FALSE,535.03714
