id	Num_In_Path_Metab	Num_In_Path_Gene	Num_In_Path	Pval_Metab	Pval_combined	Pval	Pval_combined_FDR	Pval_FDR	Pval_combined_Holm	Pval_Holm	Total_In_Path_Metab	Total_In_Path_Gene	Total_In_Path	analytes	pathwayName	pathwaySource	pathwayId	cluster_assignment	metabCount	geneCount	pathCount	OR
			5			2.555977e-9		9.647938e-8		0.000014			10	Glutathione  |  NADP  |  ATP  |  ADP  |  Oxidized glutathione	Sulfation biotransformation reaction	wiki	WP692	Did not cluster			5/10	0.006209
			8			2.723211e-13		6.422693e-11		1.49477e-9			20	AMP  |  L-Lactic acid  |  pyruvate  |  ATP  |  NAD  |  Fructose 1,6-bisphosphate  |  ADP  |  NADH	Aerobic glycolysis	wiki	WP4629	14			8/20	0.00895
			5			1.98945e-8		4.465303e-7		0.000105			14	NADP  |  pyruvate  |  NAD  |  Acetyl-CoA  |  NADH	TCA cycle in senescence	wiki	WP5050	Did not cluster			5/14	0.011123
			6			1.311269e-11		1.680559e-9		7.171329e-8			10	AMP  |  ATP  |  Hippuric acid  |  Acetyl-CoA  |  Coenzyme A  |  Phosphate	Amino acid conjugation of benzoic acid	wiki	WP521	Did not cluster			6/10	0.004075
			4			0.000003741499		0.000026		0.017626			17	L-Lactic acid  |  pyruvate  |  Fructose 1,6-bisphosphate  |  Acetyl-CoA	Glycolysis and gluconeogenesis	wiki	WP534	14			4/17	0.020349
			5			8.341877e-8		0.000001388885		0.000432			18	AMP  |  NADP  |  D-Sedoheptulose 7-phosphate  |  6-Phosphogluconic acid  |  D-Ribulose 5-phosphate	Pentose phosphate pathway in senescent cells	wiki	WP5043	13			5/18	0.016103
			5			8.341877e-8		0.000001388885		0.000432			18	NADP  |  ATP  |  NAD  |  ADP  |  NADH	Chronic hyperglycemia impairment of neuron function	wiki	WP5283	Did not cluster			5/18	0.016103
			4			0.000007503988		0.000044		0.034323			20	L-Lysine  |  Pyridoxine  |  Aminoadipic acid  |  Pyridoxal	Vitamin B6-dependent and responsive disorders	wiki	WP4228	Did not cluster			4/20	0.025066
			6			4.8468e-10		2.568338e-8		0.000002621149			16	L-Lactic acid  |  pyruvate  |  NAD  |  Fructose 1,6-bisphosphate  |  Coenzyme A  |  NADH	HIF1A and PPARG in cardiac hypertropthy	wiki	WP2456	14			6/16	0.010202
			3			0.000002644101		0.00002		0.012665			5	ATP  |  S-Adenosylmethionine  |  Phosphate	Methylation pathways	wiki	WP704	Did not cluster			3/5	0.004265
			6			3.694276e-7		0.00000470509		0.001878			44	beta-alanine  |  Ornithine  |  UTP  |  UMP  |  Acetyl-CoA  |  CDP	Pyrimidine metabolism and related diseases	wiki	WP4225	8			6/44	0.038744
			6			3.341714e-8		6.672532e-7		0.000175			30	Argininosuccinic acid  |  L-Lactic acid  |  Ornithine  |  pyruvate  |  UMP  |  L-Arginine	Urea cycle and associated pathways	wiki	WP4595	2			6/30	0.024457
			9			1.311266e-10		1.003665e-8		7.133286e-7			59	AMP  |  Xanthine  |  ATP  |  S-Adenosylmethionine  |  GDP  |  ADP  |  GMP  |  Phosphate  |  D-Ribulose 5-phosphate	Purine metabolism and related disorders	wiki	WP4224	8			9/59	0.032675
			7			1.275817e-12		2.424492e-10		6.995304e-9			14	Glutathione  |  pyruvate  |  Taurine  |  ATP  |  S-Adenosylmethionine  |  ADP  |  Phosphate	Trans-sulfuration pathway	wiki	WP2333	11			7/14	0.006054
			5			2.511999e-7		0.000003335813		0.00128			22	Argininosuccinic acid  |  beta-alanine  |  Creatine  |  Ornithine  |  L-Arginine	Biomarkers for urea cycle disorders	wiki	WP4583	2			5/22	0.021069
			6			1.836537e-10		1.215253e-8		9.981581e-7			14	UTP  |  ATP  |  NAD  |  Phosphate  |  NADH  |  Uridine diphosphate glucuronic acid	Glucuronidation	wiki	WP698	9			6/14	0.00818
			4			7.977449e-7		0.000008390023		0.003981			12	NAD  |  Acetyl-CoA  |  Coenzyme A  |  NADH	Peroxisomal beta-oxidation of tetracosanoyl-CoA	wiki	WP1941	Did not cluster			4/12	0.012545
			4			0.000009223726		0.000052		0.041892			21	Glutathione  |  NADP  |  Acetyl-CoA  |  Oxidized glutathione	Glutathione metabolism	wiki	WP100	5			4/21	0.02666
			9			5.896857e-8		0.000001072527		0.000307			116	Argininosuccinic acid  |  Ornithine  |  Palmitic acid  |  pyruvate  |  L-Arginine  |  D-Sedoheptulose 7-phosphate  |  Acetyl-CoA  |  6-Phosphogluconic acid  |  D-Ribulose 5-phosphate	Metabolism overview	wiki	WP3602	Did not cluster			9/116	0.070169
			4			0.000009223726		0.000052		0.041892			21	Folic acid  |  S-Adenosylmethionine  |  Acetyl-CoA  |  Coenzyme A	Ethanol effects on histone modifications	wiki	WP3996	Did not cluster			4/21	0.02666
			5			2.555977e-9		9.647938e-8		0.000014			10	Glycerophosphocholine  |  pyruvate  |  Acetylcholine  |  Acetyl-CoA  |  Choline	Acetylcholine synthesis	wiki	WP528	Did not cluster			5/10	0.006209
			4			0.000001146585		0.000011		0.005632			13	ATP  |  NAD  |  FAD  |  NADH	Electron transport chain: OXPHOS system in mitochondria	wiki	WP111	28			4/13	0.014109
			12			2.795553e-15		1.400572e-12		1.537834e-11			60	Taurocholic acid  |  Folic acid  |  Glutathione  |  Ornithine  |  NADP  |  Taurine  |  Acetylcholine  |  Hypotaurine  |  S-Adenosylmethionine  |  CDP-ethanolamine  |  Oxidized glutathione  |  Choline	Trans-sulfuration, one-carbon metabolism and related pathways	wiki	WP2525	Did not cluster			12/60	0.022594
			7			8.69391e-11		7.854449e-9		4.73992e-7			23	pyruvate  |  ATP  |  GDP  |  Acetyl-CoA  |  GTP  |  ADP  |  Propionylcarnitine	Krebs cycle disorders	wiki	WP4236	3			7/23	0.013796
			7			8.661242e-9		2.20982e-7		0.000046			42	Glycerophosphocholine  |  myo-Inositol  |  Palmitic acid  |  Sphingosine  |  Fructose 1,6-bisphosphate  |  Choline  |  LysoPC(16:0/0:0)	16p11.2 proximal deletion syndrome	wiki	WP4949	Did not cluster			7/42	0.030174
			5			0.000006487355		0.00004		0.029985			41	beta-alanine  |  UTP  |  UMP  |  dTTP  |  CDP	Pyrimidine metabolism	wiki	WP4022	8			5/41	0.044579
			3			0.000005263296		0.000033		0.024353			6	Taurine  |  ATP  |  Phosphate	Amino acid conjugation	wiki	WP715	Did not cluster			3/6	0.006366
			10			2.663868e-12		4.317817e-10		1.459267e-8			57	myo-Inositol  |  NADP  |  ATP  |  NAD  |  S-Adenosylmethionine  |  Acetyl-CoA  |  ADP  |  NADH  |  CDP-ethanolamine  |  Choline	Glycerophospholipid biosynthetic pathway	wiki	WP2533	Did not cluster			10/57	0.027247
			7			8.69391e-11		7.854449e-9		4.73992e-7			23	Glycerophosphocholine  |  ATP  |  Stearic acid  |  Acetylcholine  |  ADP  |  Coenzyme A  |  Choline	Phosphatidylcholine catabolism	wiki	WP4195	Did not cluster			7/23	0.013796
			6			3.20008e-9		1.08862e-7		0.000017			21	L-Lysine  |  L-Lactic acid  |  Ornithine  |  pyruvate  |  L-Arginine  |  Hippuric acid	Glucose homeostasis	wiki	WP661	Did not cluster			6/21	0.015282
			5			3.193411e-7		0.000004131194		0.001624			23	Carnosine  |  Argininosuccinic acid  |  beta-alanine  |  pyruvate  |  Acetyl-CoA	Alanine and aspartate metabolism	wiki	WP106	Did not cluster			5/23	0.022289
			6			1.322913e-8		3.19762e-7		0.00007			26	pyruvate  |  NAD  |  Fructose 1,6-bisphosphate  |  6-Phosphogluconic acid  |  ADP  |  NADH	Cori cycle	wiki	WP1946	14			6/26	0.020357
			6			8.900891e-8		0.000001473057		0.000461			35	beta-alanine  |  Creatine  |  Glutathione  |  UTP  |  UMP  |  CDP	Biomarkers for pyrimidine metabolism disorders	wiki	WP4584	8			6/35	0.02954
			6			1.062576e-7		0.000001608752		0.000547			36	AMP  |  Xanthine  |  GDP  |  ADP  |  GMP  |  D-Ribulose 5-phosphate	Purine metabolism	wiki	WP4792	8			6/36	0.030558
			5			4.990948e-7		0.000006085202		0.002525			25	AMP  |  NADP  |  ATP  |  L-Kynurenine  |  NAD	NAD biosynthesis II from tryptophan	wiki	WP2485	4			5/25	0.024759
			8			9.618282e-11		7.977076e-9		5.241964e-7			38	Glutathione  |  L-Lactic acid  |  pyruvate  |  Fructose 1,6-bisphosphate  |  D-Sedoheptulose 7-phosphate  |  Acetyl-CoA  |  6-Phosphogluconic acid  |  D-Ribulose 5-phosphate	Metabolic reprogramming in colon cancer	wiki	WP4290	14			8/38	0.022346
			4			0.000007503988		0.000044		0.034323			20	S-Adenosylmethionine  |  ADP  |  CDP-ethanolamine  |  Choline	Kennedy pathway from sphingolipids	wiki	WP3933	Did not cluster			4/20	0.025066
			6			5.89156e-9		1.824067e-7		0.000031			23	AMP  |  Taurine  |  ATP  |  Hypotaurine  |  S-Adenosylmethionine  |  Phosphate	Methionine metabolism leading to sulfur amino acids and related disorders	wiki	WP4292	11			6/23	0.017323
			7			2.205107e-7		0.000002956775		0.001125			66	Folic acid  |  NADP  |  L-Arginine  |  ATP  |  S-Adenosylmethionine  |  FAD  |  ADP	Folate metabolism	wiki	WP176	Did not cluster			7/66	0.050923
			6			1.322913e-8		3.19762e-7		0.00007			26	carnitine  |  ATP  |  Acetyl-CoA  |  ADP  |  Coenzyme A  |  NADH	Thermogenesis	wiki	WP4321	Did not cluster			6/26	0.020357
			7			3.083908e-10		1.770356e-8		0.000001670245			27	Aminoadipic acid  |  N-acetyl-L-aspartic acid  |  NAD  |  Acetyl-CoA  |  FAD  |  Coenzyme A  |  NADH	Cerebral organic acidurias, including diseases	wiki	WP4519	Did not cluster			7/27	0.017247
