id	Num_In_Path_Metab	Num_In_Path_Gene	Num_In_Path	Pval_Metab	Pval_combined	Pval	Pval_combined_FDR	Pval_FDR	Pval_combined_Holm	Pval_Holm	Total_In_Path_Metab	Total_In_Path_Gene	Total_In_Path	analytes	pathwayName	pathwaySource	pathwayId	cluster_assignment	metabCount	geneCount	pathCount	OR
			6			0.000002580575		0.00002		0.012364			66	Glutathione  |  pyruvate  |  Taurine  |  Hypotaurine  |  S-Adenosylmethionine  |  Phosphate	Sulfur amino acid metabolism	reactome	R-HSA-1614635	11			6/66	0.056061
			4			0.000009609555		0.000054		0.043512			23	Palmitic acid  |  S-Adenosylmethionine  |  GDP  |  ADP	RAS processing	reactome	R-HSA-9648002	12			4/23	0.027234
			6			0.000001614954		0.000014		0.007902			61	AMP  |  Xanthine  |  ADP  |  GMP  |  Phosphate  |  D-Ribulose 5-phosphate	Purine catabolism	reactome	R-HSA-74259	8			6/61	0.051359
			5			0.000007612495		0.000045		0.034804			46	AMP  |  UMP  |  ADP  |  GMP  |  Phosphate	Nucleotide salvage	reactome	R-HSA-8956321	8			5/46	0.046505
			6			2.001324e-8		4.465303e-7		0.000105			30	AMP  |  D-Sedoheptulose 7-phosphate  |  6-Phosphogluconic acid  |  ADP  |  Phosphate  |  D-Ribulose 5-phosphate	Pentose phosphate pathway	reactome	R-HSA-71336	13			6/30	0.022404
			7			1.087291e-8		2.748652e-7		0.000058			47	beta-alanine  |  Palmitic acid  |  Myristic acid  |  Acetylcholine  |  ADP  |  Phosphate  |  Choline	Neurotransmitter release cycle	reactome	R-HSA-112310	Did not cluster			7/47	0.031585
			6			1.281949e-8		3.126027e-7		0.000068			28	Glycerophosphocholine  |  myo-Inositol  |  GTP  |  ADP  |  Phosphate  |  Choline	PI Metabolism	reactome	R-HSA-1483255	Did not cluster			6/28	0.020515
			5			1.270361e-7		0.000001902435		0.000653			21	Glutathione  |  pyruvate  |  ADP  |  Niacinamide  |  Phosphate	Regulation of pyruvate dehydrogenase (PDH) complex	reactome	R-HSA-204174	3			5/21	0.018146
			4			0.000003397164		0.000023		0.016011			18	L-Lactic acid  |  pyruvate  |  Phosphate  |  N-Acetyl-a-neuraminic acid	Organic anion transporters	reactome	R-HSA-428643	Did not cluster			4/18	0.020077
			5			0.000001194044		0.000011		0.005863			32	AMP  |  pyruvate  |  Fructose 1,6-bisphosphate  |  ADP  |  Phosphate	Glycolysis	reactome	R-HSA-70171	14			5/32	0.030607
			6			2.001324e-8		4.465303e-7		0.000105			30	AMP  |  pyruvate  |  Fructose 1,6-bisphosphate  |  GDP  |  ADP  |  Phosphate	Gluconeogenesis	reactome	R-HSA-70263	14			6/30	0.022404
			7			6.721027e-9		1.92438e-7		0.000036			44	Glutathione  |  L-Lactic acid  |  pyruvate  |  Fructose 1,6-bisphosphate  |  ADP  |  Niacinamide  |  Phosphate	Pyruvate metabolism	reactome	R-HSA-70268	3			7/44	0.029215
			6			1.438238e-7		0.000002110086		0.00074			41	AMP  |  pyruvate  |  Fructose 1,6-bisphosphate  |  GDP  |  ADP  |  Phosphate	Glucose metabolism	reactome	R-HSA-70326	14			6/41	0.032652
			6			6.112917e-9		1.871571e-7		0.000033			25	Ornithine  |  pyruvate  |  N-acetyl-L-aspartic acid  |  ADP  |  Phosphate  |  N-Acetylaspartylglutamic acid	Glutamate and glutamine metabolism	reactome	R-HSA-8964539	2			6/25	0.017733
			5			1.636314e-7		0.000002312237		0.000838			22	Glutathione  |  pyruvate  |  ADP  |  Niacinamide  |  Phosphate	Regulation of pyruvate metabolism	reactome	R-HSA-9861718	3			5/22	0.019248
			6			6.112917e-9		1.871571e-7		0.000033			25	AMP  |  beta-alanine  |  Taurine  |  N-acetyl-L-aspartic acid  |  Hypotaurine  |  N-Acetylaspartylglutamic acid	Aspartate and asparagine metabolism	reactome	R-HSA-8963693	Did not cluster			6/25	0.017733
			6			1.281949e-8		3.126027e-7		0.000068			28	Palmitic acid  |  L-Arginine  |  S-Adenosylmethionine  |  GDP  |  ADP  |  Asymmetric dimethylarginine	Extra-nuclear estrogen signaling	reactome	R-HSA-9009391	Did not cluster			6/28	0.020515
			4			0.000009609555		0.000054		0.043512			23	AMP  |  GDP  |  ADP  |  Phosphate	Opioid Signalling	reactome	R-HSA-111885	6			4/23	0.027234
			4			0.000004283534		0.000029		0.020107			19	AMP  |  GDP  |  ADP  |  Phosphate	G-protein mediated events	reactome	R-HSA-112040	6			4/19	0.021553
			4			0.000004283534		0.000029		0.020107			19	AMP  |  GDP  |  ADP  |  Phosphate	PLC beta mediated events	reactome	R-HSA-112043	6			4/19	0.021553
			4			5.647621e-7		0.000006159215		0.002856			12	GDP  |  GTP  |  ADP  |  Phosphate	Platelet degranulation	reactome	R-HSA-114608	7			4/12	0.011462
			4			0.000005330107		0.000033		0.024657			20	AMP  |  Taurine  |  ADP  |  Phosphate	Recycling of bile acids and salts	reactome	R-HSA-159418	Did not cluster			4/20	0.022965
			5			8.321108e-10		4.047133e-8		0.000004493399			9	AMP  |  L-Arginine  |  GDP  |  ADP  |  Phosphate	MTOR signalling	reactome	R-HSA-165159	15			5/9	0.004575
			6			4.437613e-10		2.397616e-8		0.000002400749			17	AMP  |  UMP  |  ADP  |  dTTP  |  GMP  |  Phosphate	Processive synthesis on the C-strand of the telomere	reactome	R-HSA-174414	10			6/17	0.010273
			6			6.624804e-10		3.319027e-8		0.000003579382			18	AMP  |  UMP  |  ADP  |  dTTP  |  GMP  |  Phosphate	Telomere C-strand (Lagging Strand) Synthesis	reactome	R-HSA-174417	10			6/18	0.011221
			6			6.624804e-10		3.319027e-8		0.000003579382			18	AMP  |  UMP  |  ADP  |  dTTP  |  GMP  |  Phosphate	Extension of Telomeres	reactome	R-HSA-180786	10			6/18	0.011221
			5			0.000004813396		0.00003		0.022281			42	AMP  |  NADP  |  Linoleic acid  |  ADP  |  Phosphate	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	reactome	R-HSA-2046104	16			5/42	0.04198
			5			2.61644e-7		0.000003466155		0.001333			24	AMP  |  NADP  |  Linoleic acid  |  ADP  |  Phosphate	Linoleic acid (LA) metabolism	reactome	R-HSA-2046105	16			5/24	0.02157
			4			2.417891e-7		0.000003218599		0.001233			10	GDP  |  GTP  |  ADP  |  Phosphate	MHC class II antigen presentation	reactome	R-HSA-2132295	17			4/10	0.008643
			3			0.000004056894		0.000027		0.019104			6	ADP  |  Niacinamide  |  Phosphate	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	reactome	R-HSA-2173793	18			3/6	0.005839
			3			0.000004056894		0.000027		0.019104			6	ADP  |  Niacinamide  |  Phosphate	Downregulation of SMAD2/3:SMAD4 transcriptional activity	reactome	R-HSA-2173795	18			3/6	0.005839
			5			4.011501e-7		0.000005024405		0.002035			26	S-Adenosylmethionine  |  GDP  |  ADP  |  GMP  |  Phosphate	The phototransduction cascade	reactome	R-HSA-2514856	12			5/26	0.023804
			4			0.000007974521		0.000047		0.036452			22	S-Adenosylmethionine  |  GDP  |  ADP  |  Phosphate	Inactivation, recovery and regulation of the phototransduction cascade	reactome	R-HSA-2514859	12			4/22	0.025826
			4			5.647621e-7		0.000006159215		0.002856			12	GDP  |  ADP  |  Niacinamide  |  Phosphate	Nuclear Envelope (NE) Reassembly	reactome	R-HSA-2995410	17			4/12	0.011462
			3			0.000007068924		0.000042		0.032369			7	ADP  |  Niacinamide  |  Phosphate	Regulation of HSF1-mediated heat shock response	reactome	R-HSA-3371453	14			3/7	0.00775
			3			0.000004056894		0.000027		0.019104			6	GDP  |  ADP  |  Phosphate	Semaphorin interactions	reactome	R-HSA-373755	19			3/6	0.005839
			4			2.417891e-7		0.000003218599		0.001233			10	Palmitic acid  |  GDP  |  ADP  |  Phosphate	L1CAM interactions	reactome	R-HSA-373760	17			4/10	0.008643
			4			4.085293e-8		8.012118e-7		0.000214			7	AMP  |  GDP  |  ADP  |  Phosphate	Energy dependent regulation of mTOR by LKB1-AMPK	reactome	R-HSA-380972	15			4/7	0.004347
			3			0.000004056894		0.000027		0.019104			6	GDP  |  ADP  |  Phosphate	Sema4D in semaphorin signaling	reactome	R-HSA-400685	19			3/6	0.005839
			3			0.000004056894		0.000027		0.019104			6	GDP  |  ADP  |  Phosphate	Sema4D mediated inhibition of cell attachment and migration	reactome	R-HSA-416550	19			3/6	0.005839
			5			8.341509e-9		2.138652e-7		0.000044			13	AMP  |  UTP  |  UMP  |  GMP  |  Phosphate	Deadenylation-dependent mRNA decay	reactome	R-HSA-429914	20			5/13	0.009093
			4			2.417891e-7		0.000003218599		0.001233			10	AMP  |  UMP  |  GMP  |  Phosphate	mRNA decay by 3' to 5' exoribonuclease	reactome	R-HSA-429958	20			4/10	0.008643
			3			0.000007068924		0.000042		0.032369			7	AMP  |  UMP  |  GMP	mRNA decay by 5' to 3' exoribonuclease	reactome	R-HSA-430039	20			3/7	0.00775
			10			2.797036e-13		6.422693e-11		1.535013e-9			50	AMP  |  Glutathione  |  UTP  |  UMP  |  GDP  |  ADP  |  dTTP  |  GMP  |  Phosphate  |  CDP	Interconversion of nucleotide di- and triphosphates	reactome	R-HSA-499943	21			10/50	0.021246
