Query.Mass,Matched.Compound,Matched.Form,Mass.Diff,Pathway.Name,Pathway.ID,Pathway.Compound.Total,Pathway.Match.By,Matched.Compound.Name,p.value,t.score,pos_inx,Feature.ID
258.03842,C00352,M-H [1-],4.00000004674439e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Glucosamine 6-phosphate,1.16e-06,-1.7,FALSE,258.03842
259.02242,C00275,M-H [1-],3.99999998990097e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Mannose 6-phosphate,2.14e-06,-1.85,FALSE,259.02242
259.02242,C00085,M-H [1-],3.99999998990097e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Fructose 6-phosphate,2.14e-06,-1.85,FALSE,259.02242
259.02243,C00275,M-H [1-],5.99999998485146e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Mannose 6-phosphate,0.312254134,-0.36,FALSE,259.02243
259.02243,C00085,M-H [1-],5.99999998485146e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Fructose 6-phosphate,0.312254134,-0.36,FALSE,259.02243
300.04899,C04501,M-H [1-],3.40000000278451e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,N-Acetyl-glucosamine 1-phosphate,0.000391066,-0.72,FALSE,300.04899
300.04899,C00357,M-H [1-],3.40000000278451e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,N-Acetyl-D-Glucosamine 6-Phosphate,0.000391066,-0.72,FALSE,300.04899
300.04899,C04256,M-H [1-],3.40000000278451e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,C04256,0.000391066,-0.72,FALSE,300.04899
300.04899,C04257,M-H [1-],3.40000000278451e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,N-Acetyl-D-mannosamine 6-phosphate,0.000391066,-0.72,FALSE,300.04899
304.03401,C00055,M-H2O-H [1-],0.00050000000004502,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Cytidine monophosphate,0.139681717,-0.47,FALSE,304.03401
308.09872,C00270,M-H [1-],3.99999998990097e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,N-Acetylneuraminate,1.96e-05,-1.45,FALSE,308.09872
402.99482,C00015,M-H [1-],0.000104000000021642,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Uridine 5'-diphosphate,0.000392552,-1.05,FALSE,402.99482
481.97723,C00063,M-H [1-],5.99999998485146e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Cytidine triphosphate,0.003579543,-0.5,FALSE,481.97723
482.96114,C00075,M-H [1-],8.40000000152941e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Uridine triphosphate,0.002859797,-0.86,FALSE,482.96114
606.07411,C00203,M-H [1-],0.000213999999914449,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Uridine diphosphate-N-acetylgalactosamine,1.54e-05,-1.31,FALSE,606.07411
606.07411,C00043,M-H [1-],0.000213999999914449,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Uridine diphosphate-N-acetylglucosamine,1.54e-05,-1.31,FALSE,606.07411
606.07411,C01170,M-H [1-],0.000213999999914449,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,UDP-N-acetyl-D-mannosamine,1.54e-05,-1.31,FALSE,606.07411
673.23072,C04886,M-H [1-],0.000203999999939697,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,(N-acetylneuraminosyl(a2-6)lactosamine),0.025970163,-0.75,FALSE,673.23072
766.1079,C00010,M-H [1-],2.39999999394058e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Coenzyme A,0.003192,-1.2,FALSE,766.1079
808.11823,C00024,M-H [1-],0.000293999999939842,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Acetyl-CoA,0.001821828,-0.79,FALSE,808.11823
87.00877,C00022,M-H [1-],4.5999999997548e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Pyruvic acid,0.000431622,-1.44,FALSE,87.00877
306.07649,C00051,M-H [1-],3.40000000278451e-05,Androgen and estrogen biosynthesis and metabolism,mfn1v10path107,95,Matched.Compound,Glutathione,3.87e-05,-1.43,FALSE,306.07649
399.14455,C00019,M+H [1+],7.39999999836982e-05,Androgen and estrogen biosynthesis and metabolism,mfn1v10path107,95,Matched.Compound,S-Adenosylmethionine,3e-05,-0.82,TRUE,399.14455
402.99482,C00015,M-H [1-],0.000104000000021642,Androgen and estrogen biosynthesis and metabolism,mfn1v10path107,95,Matched.Compound,Uridine 5'-diphosphate,0.000392552,-1.05,FALSE,402.99482
426.02206,C00054,M-H [1-],6.40000000089458e-05,Androgen and estrogen biosynthesis and metabolism,mfn1v10path107,95,Matched.Compound,"Adenosine 3',5'-diphosphate",0.000785849,-1.11,FALSE,426.02206
579.02681,C00167,M-H [1-],0.000214000000028136,Androgen and estrogen biosynthesis and metabolism,mfn1v10path107,95,Matched.Compound,Uridine diphosphate glucuronic acid,6.6e-05,-1.75,FALSE,579.02681
146.04588,C00025,M-H [1-],4.40000000025975e-05,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Glutamic acid,0.000116605,1.04,FALSE,146.04588
148.06045,C00025,M+H [1+],2.59999999911997e-05,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Glutamic acid,0.001100992,-0.39,TRUE,148.06045
306.07649,C00051,M-H [1-],3.40000000278451e-05,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Glutathione,3.87e-05,-1.43,FALSE,306.07649
346.05571,C00020,M-H [1-],0.000114000000053238,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Adenosine monophosphate,1.28e-05,-1.39,FALSE,346.05571
613.15941,C00127,M+H [1+],0.000133999999889056,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Oxidized glutathione,5.47e-05,-1.8,TRUE,613.15941
613.15942,C00127,M+H [1+],0.000143999999863809,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Oxidized glutathione,0.01612591,-0.75,TRUE,613.15942
76.03932,C00037,M+H [1+],4.40000000025975e-05,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Glycine,0.326905645,-0.13,TRUE,76.03932
766.1079,C00010,M-H [1-],2.39999999394058e-05,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Coenzyme A,0.003192,-1.2,FALSE,766.1079
784.1499,C00016,M-H [1-],7.60000000354921e-05,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,FAD,0.0003438,-1.11,FALSE,784.1499
808.11823,C00024,M-H [1-],0.000293999999939842,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Acetyl-CoA,0.001821828,-0.79,FALSE,808.11823
116.07059,C00763,M+H [1+],1.39999999930751e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,D-Proline,0.000192438,-0.67,TRUE,116.07059
