Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
212.04312,C02305,M+H [1+],4.40000000025975e-05
401.34161,C05455,M+H [1+],0.000234000000034484
401.34161,C01561,M+H [1+],0.000234000000034484
401.34161,C06341,M-H2O+H [1+],0.000233533230016292
401.34161,C05458,M-H2O+H [1+],0.000233533230016292
401.34161,C05453,M-H2O+H [1+],0.000233533230016292
401.34161,CE5530,M-H2O+H [1+],0.000237533230006193
401.34161,C05501,M-H2O+H [1+],0.000233533230016292
401.34161,C15520,M-H2O+H [1+],0.000233533230016292
401.34161,C15518,M-H2O+H [1+],0.000233533230016292
401.34161,C05499,M-H2O+H [1+],0.000233533230016292
401.34161,C05445,M-H2O+H [1+],0.000233533230016292
86.06002,C02356,M-H2O+H [1+],4.35332299986158e-05
86.06002,C01026,M-H2O+H [1+],4.35332299986158e-05
86.06002,C00334,M-H2O+H [1+],4.35332299986158e-05
86.06002,C05145,M-H2O+H [1+],4.35332299986158e-05
86.06002,C01205,M-H2O+H [1+],4.35332299986158e-05
86.06002,C03284,M-H2O+H [1+],4.35332299986158e-05
128.0706,C04092,M+H [1+],2.4000000024671e-05
128.0706,C00450,M+H [1+],2.4000000024671e-05
128.0706,C03239,M-H2O+H [1+],2.35332300064783e-05
128.0706,C02946,M-H2O+H [1+],2.35332300064783e-05
128.0706,C04076,M-H2O+H [1+],2.35332300064783e-05
268.104,C00212,M+H [1+],7.59999999786487e-05
268.104,C00330,M+H [1+],7.59999999786487e-05
114.06617,C00791,M+H [1+],5.99999999906231e-06
114.06617,C00300,M-H2O+H [1+],6.46677000304408e-06
336.14022,C04540,M+H [1+],4.40000000025975e-05
613.15942,C00127,M+H [1+],0.000143999999863809
170.08117,C00547,M+H [1+],6.00000001327317e-06
170.08117,C00314,M+H [1+],6.00000001327317e-06
170.08117,C05548,M-H2O+H [1+],6.46677000304408e-06
474.35782,dcsptn1crn,M+H [1+],4.9999999987449e-05
474.35782,clpndcrn,M+H [1+],4.9999999987449e-05
188.17573,C01029,M+H [1+],4.5999999997548e-05
188.17573,C00612,M+H [1+],4.5999999997548e-05
489.11474,C00307,M+H [1+],0.000163999999983844
400.34212,C02990,M+H [1+],5.59999999723004e-05
676.52858,C04756,M+H [1+],0.00101375469989762
132.10191,C00123,M+H [1+],3.39999999994234e-05
132.10191,C00407,M+H [1+],3.39999999994234e-05
175.1077,C00437,M+H [1+],2.39999999962492e-05
182.08114,C00082,M+H [1+],3.59999999943739e-05
182.08114,CE2174,M+H [1+],3.39999999994234e-05
191.06624,C05829,M+H [1+],3.59999999943739e-05
508.37621,C04230,M+H [1+],5.90188000160197e-05
251.06965,C00669,M+H [1+],7.40000000121199e-05
175.14409,C05545,M+H [1+],1.38323999863132e-05
372.31081,ttdcrn,M+H [1+],2.39999999962492e-05
170.0924,C01152,M+H [1+],2.39999999962492e-05
176.07061,C00954,M+H [1+],3.39999999994234e-05
176.07061,C05634,M+H [1+],3.39999999994234e-05
176.07061,C16595,M-H2O+H [1+],3.35332299812308e-05
176.07061,C16587,M-H2O+H [1+],3.35332299812308e-05
508.37623,C04230,M+H [1+],7.90188000223679e-05
343.12352,C00208,M+H [1+],4.40000000025975e-05
343.12352,C06373,M+H [1+],4.40000000025975e-05
343.12352,C00252,M+H [1+],4.40000000025975e-05
343.12352,C00243,M+H [1+],4.40000000025975e-05
343.12352,C01083,M+H [1+],4.40000000025975e-05
343.12352,C00897,M+H [1+],4.40000000025975e-05
343.12352,C00089,M+H [1+],4.40000000025975e-05
343.12352,C01235,M+H [1+],4.40000000025975e-05
