,Pathway_Total,Hits,P_val,P_adj,NES,,,,,,,,
Vitamin B12 (cyanocobalamin) metabolism,9,1,0.8868,1,-0.7974,C00019,,,,,,,
Glutathione Metabolism,19,8,0.9231,1,-0.6062,C01879;C00025;C00127;C03740;C00041;C00051;C00669;C00037,,,,,,,
Arachidonic acid metabolism,95,8,0.9231,1,-0.6062,C00025;C00024;C00020;C00010;C00016;C00127;C00051;C00037,,,,,,,
Glutamate metabolism,15,9,0.9286,1,-0.7013,C00025;C00026;C00127;C00041;C00022;C00334;C00064;C00051;C00669,,,,,,,
Leukotriene metabolism,92,6,0.9529,1,0.5727,C00024;C00020;C00010;C00302;C00051;C00037,,,,,,,
Selenoamino acid metabolism,35,4,0.987,1,0.5326,C00020;C00065;C00212;C00041,,,,,,,
N-Glycan biosynthesis,48,14,1,1,0,C00105;C00063;C00325;C00112;C00055;C00052;C00096;C00159;C00035;C00015;C03862;C00029;C00031;C00043,,,,,,,
Glycolysis and Gluconeogenesis,49,19,1,1,0,C00149;C00024;C00035;C05378;C00103;C00022;C00579;C00668;C00092;C00020;C00010;C00111;C00031;C00354;C00118;C00074;C00197;C00085;C00665;C05345;C01231;C00631;C00221;C01172;C00267;C00661;C00044;C00186,,,,,,,
Glycosphingolipid biosynthesis - ganglioseries,62,9,1,1,0,C00124;C00035;C01582;C00054;C00055;C00052;C00015;C00325;C00203,,,,,,,
Pyruvate Metabolism,20,9,1,1,0,C00010;C00149;C00256;C00024;C00022;C00186;C03451;C00051;C00111;C00661,,,,,,,
Sialic acid metabolism,107,13,1,1,0,C05401;C01582;C00221;C04257;C00074;C04006;C00243;C00065;C00270;C00267;C01177;C00124;C00055;C03546;C00137;C06373,,,,,,,
Linoleate metabolism,46,7,1,1,0,C00127;C04230;C08261;C00051;C00015;C01595;C00167,,,,,,,
Hexose phosphorylation,20,9,1,1,0,C00159;C00329;C00031;C02965;C00275;C00085;C00095;C01083;C00089;C00092;C00738;C00352,,,,,,,
Squalene and cholesterol biosynthesis,55,4,1,1,0,C00024;CE2315;C01189;C03845;C00010;C00016;C00187,,,,,,,
Galactose metabolism,41,18,1,1,0,C00124;C00103;C00029;C05400;C05401;C05402;tag1p-D;C00577;C00112;C00052;C03785;C00063;C01613;C00159;C00111;C00015;C00031;C00075;C00795;C02336;C00446;C00243;C00221;C00267;C00089;C00095;C01097,,,,,,,
Carnitine shuttle,72,12,1,1,0,ptdcacrn;vacccrn;elaidcrn;hdcecrn;C02990;C00010;pcrn;odecrn;hdd2crn;C00318;arachcrn;clpndcrn;ttdcrn;stcrn;dcsptn1crn;hpdcacrn,,,,,,,
