"","Pathway_Total","Hits","P_val","P_adj","NES",""
"Fatty acid activation","74","10","0.3404","1","1.099","C00020;C00024;C01712;C00010;C00016;C00136;C06424;C00249;C01595;C01530"
"Vitamin D3 (cholecalciferol) metabolism","16","1","0.3514","1","1.071","C01561"
"Lipoate metabolism","8","1","0.3514","1","1.102","C00579"
"Selenoamino acid metabolism","35","4","0.4286","1","-0.985","C00020;C00065;C00212;C00041"
"Vitamin B6 (pyridoxine) metabolism","11","3","0.4722","1","1.013","C00250;C00314;C00847"
"Glyoxylate and Dicarboxylate Metabolism","12","2","0.4737","1","-1.008","C00111;C00631"
"CoA Catabolism","7","3","0.5","1","-1.048","C00010;C00020;C00864"
"Urea cycle/amino group metabolism","85","23","0.59","1","0.9342","C00025;C00024;C00148;C01586;C00791;C00062;C02946;C00437;C00624;C00300;C03406;C00213;C00010;C00037;C00016;C00019;C00334;C00170;C00026;C01165;C00788;C00547;C00049"
"Heparan sulfate degradation","34","3","0.6","1","-0.8986","C00024;C00124;C00010"
"Nitrogen metabolism","6","4","0.6049","1","0.9256","C00025;C00152;C00064;C00049"
"3-oxo-10R-octadecatrienoate beta-oxidation","27","2","0.6053","1","-0.949","C00024;C00010"
"Alkaloid biosynthesis II","10","2","0.6053","1","-0.949","C00010;C00020"
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","6","2","0.6053","1","-0.949","C00010;C03862"
"R Group Synthesis","7","1","0.6757","1","0.8544","C00016"
"Leukotriene metabolism","92","6","0.6813","1","0.817","C00024;C00020;C00010;C00302;C00051;C00037"
"Vitamin B12 (cyanocobalamin) metabolism","9","1","0.7231","1","-0.8449","C00019"
"Butanoate metabolism","34","11","0.7447","1","0.7935","C00025;C00024;C00026;C00020;C00022;C05548;C03087;C00010;C00016;C00136;C00334"
"Polyunsaturated fatty acid biosynthesis","21","3","0.75","1","0.796","C00010;C00024;C01530"
"Trihydroxycoprostanoyl-CoA beta-oxidation","9","1","0.7692","1","-0.8047","C00010"
