Query.Mass,Matched.Compound,Matched.Form,Mass.Diff,Pathway.Name,Pathway.ID,Pathway.Compound.Total,Pathway.Match.By,Matched.Compound.Name,p.value,t.score,pos_inx,Feature.ID
258.03842,C00352,M-H [1-],4.00000004674439e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Glucosamine 6-phosphate,3.7e-05,-0.9,FALSE,258.03842
259.02242,C00275,M-H [1-],3.99999998990097e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Mannose 6-phosphate,0.000230005,-0.83,FALSE,259.02242
259.02242,C00085,M-H [1-],3.99999998990097e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Fructose 6-phosphate,0.000230005,-0.83,FALSE,259.02242
259.02243,C00275,M-H [1-],5.99999998485146e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Mannose 6-phosphate,0.022058477,-1.24,FALSE,259.02243
259.02243,C00085,M-H [1-],5.99999998485146e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Fructose 6-phosphate,0.022058477,-1.24,FALSE,259.02243
300.04899,C04501,M-H [1-],3.40000000278451e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,N-Acetyl-glucosamine 1-phosphate,0.00010776,-0.92,FALSE,300.04899
300.04899,C00357,M-H [1-],3.40000000278451e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,N-Acetyl-D-Glucosamine 6-Phosphate,0.00010776,-0.92,FALSE,300.04899
300.04899,C04256,M-H [1-],3.40000000278451e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,C04256,0.00010776,-0.92,FALSE,300.04899
300.04899,C04257,M-H [1-],3.40000000278451e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,N-Acetyl-D-mannosamine 6-phosphate,0.00010776,-0.92,FALSE,300.04899
304.03401,C00055,M-H2O-H [1-],0.00050000000004502,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Cytidine monophosphate,0.368153852,-0.35,FALSE,304.03401
308.09872,C00270,M-H [1-],3.99999998990097e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,N-Acetylneuraminate,0.000431648,-0.92,FALSE,308.09872
402.99482,C00015,M-H [1-],0.000104000000021642,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Uridine 5'-diphosphate,0.020444284,-0.54,FALSE,402.99482
481.97723,C00063,M-H [1-],5.99999998485146e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Cytidine triphosphate,0.00183632,-0.64,FALSE,481.97723
482.96114,C00075,M-H [1-],8.40000000152941e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Uridine triphosphate,0.004458649,-0.89,FALSE,482.96114
606.07411,C00203,M-H [1-],0.000213999999914449,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Uridine diphosphate-N-acetylgalactosamine,0.000375671,-0.75,FALSE,606.07411
606.07411,C00043,M-H [1-],0.000213999999914449,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Uridine diphosphate-N-acetylglucosamine,0.000375671,-0.75,FALSE,606.07411
606.07411,C01170,M-H [1-],0.000213999999914449,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,UDP-N-acetyl-D-mannosamine,0.000375671,-0.75,FALSE,606.07411
673.23072,C04886,M-H [1-],0.000203999999939697,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,(N-acetylneuraminosyl(a2-6)lactosamine),0.032644982,-0.68,FALSE,673.23072
766.1079,C00010,M-H [1-],2.39999999394058e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Coenzyme A,0.074613198,-0.44,FALSE,766.1079
808.11823,C00024,M-H [1-],0.000293999999939842,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Acetyl-CoA,0.002146583,-0.66,FALSE,808.11823
87.00877,C00022,M-H [1-],4.5999999997548e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Pyruvic acid,0.18021595,-0.15,FALSE,87.00877
306.07649,C00051,M-H [1-],3.40000000278451e-05,Androgen and estrogen biosynthesis and metabolism,mfn1v10path107,95,Matched.Compound,Glutathione,0.004091129,-0.59,FALSE,306.07649
399.14455,C00019,M+H [1+],7.39999999836982e-05,Androgen and estrogen biosynthesis and metabolism,mfn1v10path107,95,Matched.Compound,S-Adenosylmethionine,0.000855724,-0.5,TRUE,399.14455
402.99482,C00015,M-H [1-],0.000104000000021642,Androgen and estrogen biosynthesis and metabolism,mfn1v10path107,95,Matched.Compound,Uridine 5'-diphosphate,0.020444284,-0.54,FALSE,402.99482
426.02206,C00054,M-H [1-],6.40000000089458e-05,Androgen and estrogen biosynthesis and metabolism,mfn1v10path107,95,Matched.Compound,"Adenosine 3',5'-diphosphate",0.07693889,-0.41,FALSE,426.02206
579.02681,C00167,M-H [1-],0.000214000000028136,Androgen and estrogen biosynthesis and metabolism,mfn1v10path107,95,Matched.Compound,Uridine diphosphate glucuronic acid,0.005318042,-0.83,FALSE,579.02681
146.04588,C00025,M-H [1-],4.40000000025975e-05,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Glutamic acid,4.78e-07,2.79,FALSE,146.04588
148.06045,C00025,M+H [1+],2.59999999911997e-05,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Glutamic acid,9.56e-05,-0.55,TRUE,148.06045
306.07649,C00051,M-H [1-],3.40000000278451e-05,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Glutathione,0.004091129,-0.59,FALSE,306.07649
346.05571,C00020,M-H [1-],0.000114000000053238,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Adenosine monophosphate,0.00068178,-0.77,FALSE,346.05571
613.15941,C00127,M+H [1+],0.000133999999889056,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Oxidized glutathione,0.021493262,-0.65,TRUE,613.15941
613.15942,C00127,M+H [1+],0.000143999999863809,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Oxidized glutathione,0.053636244,-0.69,TRUE,613.15942
76.03932,C00037,M+H [1+],4.40000000025975e-05,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Glycine,0.007955242,-0.29,TRUE,76.03932
